Timestamp,Austin_V1LPM_Magnitude,Austin_V1LPM_Angle,HARRIS_V1LPM_Magnitude,HARRIS_V1LPM_Angle,McDonald 1P_V1LPM_Magnitude,McDonald 1P_V1LPM_Angle,UT 3 phase_VALPM_Magnitude,UT 3 phase_VALPM_Angle,UT Pan Am_V1LPM_Magnitude,UT Pan Am_V1LPM_Angle,WACO_V1YPM_Magnitude,WACO_V1YPM_Angle,Z_UT_3378_AO[079]_Value,Z_UT_3378_AO[085]_Value,Z_UT_3378_AO[087]_Value,Z_UT_3378_AO[090]_Value,Z_UT_3378_AO[091]_Value,Z_UT_3378_AO[092]_Value
2012/01/03 01:00:00.000,78807.3672,9.3185,66912.8516,-79.9051,41.2308,-31.3753,118.4018,9.3404,80324.0,121.1634,41265.9375,70.8917,60.0218,60.0221,60.022,60.0219,60.0231,60.022
2012/01/03 01:00:00.033,78797.2422,9.5815,66910.4219,-79.6457,41.233,-31.098,118.39,9.6025,80328.6094,121.4295,41265.6367,71.147,60.0218,60.022,60.0222,60.0217,60.0228,60.022
2012/01/03 01:00:00.067,78813.2344,9.8433,66908.6328,-79.3879,41.2291,-30.8415,118.4051,9.8653,80334.7031,121.7138,41264.6875,71.4083,60.0217,60.0218,60.0224,60.0217,60.0227,60.022
2012/01/03 01:00:00.100,78827.4766,10.1013,66906.4531,-79.1299,41.2306,-30.5959,118.4203,10.1244,80337.0078,121.9887,41261.6992,71.6615,60.0217,60.0217,60.0223,60.0218,60.0224,60.022
2012/01/03 01:00:00.133,78825.7813,10.3589,66905.2656,-78.8716,41.2362,-30.3329,118.4185,10.3815,80340.4375,122.2511,41249.3906,71.9169,60.0217,60.0215,60.022,60.0217,60.0223,60.021
2012/01/03 01:00:00.167,78823.2578,10.6161,66904.2578,-78.6139,41.2403,-30.0645,118.4119,10.637,80344.75,122.5159,41233.543,72.1705,60.0216,60.0215,60.0219,60.0216,60.0224,60.021
2012/01/03 01:00:00.200,78825.3203,10.873,66904.0156,-78.3568,41.2374,-29.8025,118.4128,10.8928,80339.8906,122.7762,41228.6172,72.4221,60.0215,60.0215,60.0216,60.0216,60.0223,60.021
2012/01/03 01:00:00.233,78826.2422,11.1302,66906.2188,-78.0982,41.2365,-29.5689,118.4166,11.1513,80327.7109,123.0279,41233.2227,72.6775,60.0214,60.0215,60.0214,60.0215,60.0219,60.021
2012/01/03 01:00:00.267,78828.6328,11.3842,66909.1953,-77.8392,41.23,-29.3328,118.42,11.4074,80323.4453,123.2782,41247.4023,72.9365,60.0214,60.0215,60.0211,60.0214,60.0215,60.021
2012/01/03 01:00:00.300,78829.1172,11.6381,66910.9141,-77.5819,41.2317,-29.0762,118.4208,11.6617,80324.7109,123.5302,41252.3359,73.1978,60.0213,60.0215,60.021,60.0213,60.0212,60.021
2012/01/03 01:00:00.333,78825.2656,11.8951,66912.1094,-77.3256,41.2379,-28.8024,118.4183,11.9187,80325.5859,123.7834,41250.6523,73.4494,60.0213,60.0215,60.021,60.0214,60.021,60.021
2012/01/03 01:00:00.367,78826.1641,12.1587,66912.2969,-77.067,41.241,-28.5317,118.4243,12.1807,80331.0781,124.0469,41252.875,73.7088,60.0214,60.0215,60.0212,60.0214,60.021,60.021
2012/01/03 01:00:00.400,78827.8438,12.4236,66912.3906,-76.8066,41.2394,-28.287,118.4313,12.4434,80337.4453,124.308,41254.6797,73.9743,60.0215,60.0215,60.0213,60.0215,60.0213,60.022
2012/01/03 01:00:00.433,78828.4297,12.6825,66912.3828,-76.5503,41.2407,-28.0478,118.4321,12.7022,80337.3438,124.5539,41255.4531,74.2258,60.0216,60.0215,60.0214,60.0215,60.0213,60.021
2012/01/03 01:00:00.467,78833.2969,12.9357,66911.4922,-76.2984,41.2426,-27.7944,118.4304,12.9567,80333.3047,124.7878,41252.6094,74.4755,60.0216,60.0214,60.0212,60.0215,60.0211,60.021
2012/01/03 01:00:00.500,78833.5547,13.1823,66909.5,-76.0475,41.241,-27.5298,118.4227,13.2042,80334.4063,125.0251,41254.9648,74.727,60.0215,60.0213,60.0211,60.0214,60.0207,60.021
2012/01/03 01:00:00.533,78818.8516,13.4359,66909.8125,-75.7932,41.2361,-27.2538,118.4103,13.4553,80342.5938,125.2766,41252.5078,74.983,60.0213,60.0212,60.0212,60.0211,60.0204,60.021
2012/01/03 01:00:00.567,78786.5391,13.6974,66912.1328,-75.5353,41.2424,-26.9919,118.385,13.7138,80345.6563,125.5301,41249.7109,75.2451,60.0213,60.0212,60.0217,60.0211,60.0204,60.021
2012/01/03 01:00:00.600,78768.8828,13.9495,66912.9844,-75.2822,41.2374,-26.7529,118.3697,13.9657,80336.5547,125.7636,41248.9219,75.5011,60.0211,60.0211,60.0217,60.0209,60.0201,60.021
2012/01/03 01:00:00.633,78783.7188,14.1982,66913.4063,-75.0328,41.2392,-26.5167,118.3889,14.2142,80328.0469,125.99,41253.3906,75.7587,60.021,60.0211,60.0216,60.0209,60.02,60.021
2012/01/03 01:00:00.667,78800.625,14.4498,66914.1563,-74.7845,41.2481,-26.2407,118.4094,14.4661,80328.2891,126.2251,41259.8008,76.01,60.021,60.021,60.0217,60.0211,60.0199,60.021
2012/01/03 01:00:00.700,78800.9531,14.7012,66915.8516,-74.5359,41.2518,-25.9619,118.4116,14.7193,80332.8281,126.4695,41262.5625,76.2598,60.021,60.0209,60.0218,60.0211,60.0198,60.021
2012/01/03 01:00:00.733,78797.7656,14.9494,66916.5,-74.2872,41.2521,-25.7002,118.412,14.9677,80336.3672,126.7203,41267.168,76.5033,60.0209,60.0207,60.0216,60.0209,60.0198,60.021
2012/01/03 01:00:00.767,78800.4688,15.1979,66914.0938,-74.0392,41.247,-25.4497,118.4127,15.2158,80334.7109,126.9715,41263.6133,76.7438,60.0208,60.0207,60.0217,60.021,60.0203,60.021
2012/01/03 01:00:00.800,78803.8281,15.4454,66912.5625,-73.7946,41.2488,-25.2021,118.4105,15.4634,80327.3594,127.2117,41259.7539,76.9906,60.0208,60.0207,60.0217,60.0208,60.0204,60.021
2012/01/03 01:00:00.833,78801.0781,15.689,66913.7734,-73.5519,41.2495,-24.9489,118.4092,15.7067,80319.5938,127.4432,41261.125,77.2388,60.0207,60.0206,60.0212,60.0206,60.0204,60.02
2012/01/03 01:00:00.867,78795.6953,15.9313,66913.4375,-73.3076,41.2532,-24.6872,118.4062,15.95,80316.7578,127.6862,41272.207,77.4898,60.0205,60.0205,60.0211,60.0205,60.0204,60.02
2012/01/03 01:00:00.900,78795.1484,16.1735,66913.6484,-73.0622,41.2517,-24.4224,118.4076,16.1921,80311.3125,127.9326,41278.6328,77.7455,60.0204,60.0204,60.0212,60.0204,60.0203,60.021
2012/01/03 01:00:00.933,78796.6484,16.4141,66914.6563,-72.8183,41.2548,-24.1692,118.4092,16.4319,80306.9531,128.1733,41274.3594,77.9847,60.0202,60.0204,60.0213,60.0202,60.0201,60.021
2012/01/03 01:00:00.967,78797.2891,16.6524,66912.2813,-72.5794,41.2476,-23.9438,118.4044,16.6708,80315.8672,128.4226,41267.2539,78.2164,60.0201,60.0203,60.0212,60.0202,60.0202,60.021
2012/01/03 01:00:01.000,78792.2422,16.8907,66909.3047,-72.3438,41.2447,-23.7299,118.3944,16.91,80327.5156,128.687,41265.3086,78.4495,60.02,60.0202,60.0205,60.02,60.0205,60.02
2012/01/03 01:00:01.033,78787.8672,17.1302,66909.8203,-72.1055,41.2494,-23.491,118.3892,17.1487,80330.6875,128.958,41276.6172,78.6926,60.02,60.02,60.0199,60.0199,60.0211,60.02
2012/01/03 01:00:01.067,78792.5938,17.3705,66911.8828,-71.8604,41.2579,-23.2295,118.3986,17.3884,80331.6719,129.2191,41283.293,78.9405,60.0199,60.02,60.0199,60.0199,60.0215,60.02
2012/01/03 01:00:01.100,78796.5703,17.6082,66912.7188,-71.615,41.2613,-22.9648,118.4066,17.6268,80325.4453,129.4682,41284.5313,79.1997,60.0199,60.02,60.0201,60.0199,60.0216,60.02
2012/01/03 01:00:01.133,78797.2734,17.8507,66912.8672,-71.372,41.2599,-22.7309,118.4058,17.8682,80245.5547,129.7331,41289.1289,79.44,60.0199,60.0202,60.0203,60.02,60.0219,60.02
2012/01/03 01:00:01.167,78792.4609,18.0945,66911.1172,-71.1311,41.2602,-22.5171,118.3945,18.1112,80124.3125,130.001,41281.7656,79.6707,60.02,60.0202,60.0203,60.0202,60.022,60.02
2012/01/03 01:00:01.200,78789.7266,18.3337,66909.4688,-70.8939,41.2552,-22.2999,118.3862,18.3524,80086.2656,130.255,41279.5742,79.9026,60.02,60.0202,60.0197,60.0202,60.0216,60.02
2012/01/03 01:00:01.233,78792.3672,18.5725,66908.3047,-70.6576,41.2498,-22.0625,118.3933,18.5912,80120.2188,130.5167,41278.0625,80.1345,60.02,60.02,60.0191,60.0201,60.0216,60.02
